"Département","Circonscription","Première place","Seconde place","Troisième place","Quatrième place"
"Côte-d'Or","4e circonscription de la Côte-d'Or","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Sophie DUMONT (42.24%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Hubert BRIGAND (35.19%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Valérie JACQ (20.47%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côte-d'Or","5e circonscription de la Côte-d'Or","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> René LIORET (45.31%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Didier PARIS (30.98%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> <s>Jérôme FLACHE (19.3%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côtes-d'Armor","1ère circonscription des Côtes-d'Armor","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Mickaël COSSON (32.96%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Marion GORGIARD (30.38%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Françoise BILLAUD (25.75%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côtes-d'Armor","2e circonscription des Côtes-d'Armor","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Hervé BERVILLE (33.61%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Antoine KIEFFER (30.96%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Jérémy DAUPHIN (25.71%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côtes-d'Armor","3e circonscription des Côtes-d'Armor","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Corentin LE FUR (31.96%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Odile DE MELLON (28.57%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Antoine RAVARD (22.92%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côtes-d'Armor","4e circonscription des Côtes-d'Armor","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Noël LUDE (34.3%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Murielle LEPVRAUD (31.03%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Cyril JOBIC (30.56%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côtes-d'Armor","5e circonscription des Côtes-d'Armor","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Eric BOTHOREL (37.81%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Marielle LEMAITRE (30.6%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jean-Yves LE BOULANGER (29.08%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Creuse","1ère circonscription de la Creuse","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Bartolomé LENOIR (33.35%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Catherine COUTURIER (23.47%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Valérie SIMONET (22.12%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Dordogne","1ère circonscription de la Dordogne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Nadine LECHON (38.24%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Pascale MARTIN (29.42%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> <s>Clément TONON (24.3%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Dordogne","2e circonscription de la Dordogne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Serge MULLER (42.71%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Christophe CATHUS (28.27%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Michel DELPON (19.58%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Dordogne","3e circonscription de la Dordogne","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Florence JOUBERT (40.13%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Christelle DRUILLOLE (28.58%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> <s>Jean-Pierre CUBERTAFON (23.33%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Doubs","1ère circonscription du Doubs","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Laurent CROIZIER (33.52%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Séverine VEZIES (31.76%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Thomas LUTZ (31.2%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Doubs","2e circonscription du Doubs","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Dominique VOYNET (34.16%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Eric FUSIS (30.12%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Benoît VUILLEMIN (26.79%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Doubs","3e circonscription du Doubs","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Matthieu BLOCH (44.35%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Nicolas PACQUOT (30.22%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> <s>Virginie DAYET (21.56%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Doubs","4e circonscription du Doubs","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Géraldine GRANGIER (47.63%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Magali DUVERNOIS (28.26%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> <s>Philippe GAUTIER (20.43%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Drôme","2e circonscription de la Drôme","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Lisette POLLET (42.85%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Karim CHKERI (22.81%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Nicolas MICHEL (18.94%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Drôme","3e circonscription de la Drôme","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Marie POCHON (37.96%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Adhémar AUTRAND (32.26%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Lander MARCHIONNI (19.09%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Drôme","4e circonscription de la Drôme","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Thibaut MONNIER (38.37%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Isabelle PAGANI (26.27%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Emmanuelle ANTHOINE (23.98%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Eure","1ère circonscription de l'Eure","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Christine LOIR (46.54%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Julien CANIN (28.51%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Christine LE BONTÉ (21.58%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Eure","5e circonscription de l'Eure","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Timothée HOUSSIN (45.26%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Frédéric DUCHÉ (24.39%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Pierre-Yves JOURDAIN (21.28%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Eure-et-Loir","1ère circonscription d'Eure-et-Loir","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Emma MINOT (33.66%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Guillaume KASBARIAN (32.89%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Jean-François BRIDET (24.05%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Eure-et-Loir","2e circonscription d'Eure-et-Loir","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Olivier DUBOIS (38.33%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Olivier MARLEIX (25.92%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Nadia FAVERIS (25.59%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Finistère","1ère circonscription du Finistère","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Annaïg LE MEUR (33%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Grégory LEBERT (32.83%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Christel HÉNAFF (23.67%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Finistère","2e circonscription du Finistère","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Pierre-Yves CADALEN (35.28%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Denis KERVELLA (22.58%)</p>","<p style='margin:4px;'><span style='background-color:#777F7F; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVC</span> Jean-Charles LARSONNEUR (18.48%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Finistère","3e circonscription du Finistère","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Didier LE GAC (38.92%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Martine DONVAL (27.74%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Pierre SMOLARZ (26.91%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Finistère","4e circonscription du Finistère","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Sylvaine VULPIANI (30.92%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Sandrine LE FEUR (30.63%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Tony BIHOUEE (25.86%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Finistère","5e circonscription du Finistère","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Graziella MELCHIOR (30.3%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> Gladys GRELAUD (27.22%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Renée THOMAÏDIS (26.53%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Finistère","6e circonscription du Finistère","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Mélanie THOMIN (37.88%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Patrick LE FUR (30.21%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> <s>Erwan CROUAN (27.99%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
